순위,종목명,현재가,등락률(%)
1,대원전선우,5330,30.0
2,계양전기우,10070,29.94
3,대원전선,8140,26.4
4,가온전선,208500,15.83
5,삼성제약,2090,15.09
6,솔루스첨단소재,15500,14.81
7,한투 레버리지WTI원유선물 ETN B,53895,14.04
8,OCI,137200,13.01
9,삼성 블룸버그 레버리지 WTI원유선물 ETN B,53880,12.7
10,KB S&P 레버리지 WTI원유 선물 ETN B,53960,12.58
11,메리츠 레버리지 WTI원유 선물 ETN(H),51450,12.45
12,삼성 레버리지 WTI원유 선물 ETN,3085,12.18
13,신한 블룸버그 레버리지 WTI원유선물 ETN B,53665,12.13
14,하나 S&P 레버리지 WTI원유 선물 ETN B,53865,11.89
15,키움 레버리지 전력 TOP5 ETN,35325,11.86
16,LS ELECTRIC,217000,11.74
17,유니드,95600,11.29
18,해성디에스,76100,11.09
19,계양전기,7070,10.82
20,상상인증권,1253,10.69
21,GS,76800,8.47
22,PLUS 글로벌수소&차세대연료전지,6445,8.32
23,삼영,10620,8.26
24,태영건설우,12980,8.17
25,WISCOM,2270,8.1
26,SGC에너지,68600,8.03
27,달바글로벌,229500,7.75
28,솔루스첨단소재1우,2655,7.71
29,ACE 미국SMR원자력TOP10,9825,7.67
30,솔루스첨단소재2우B,3870,7.65
31,미래에셋 인버스 2X 은 선물 ETN B,1969,7.48
32,DB하이텍,137400,7.43
33,삼일씨엔에스,7940,7.3
34,서울식품우,1279,7.21
35,수산인더스트리,30650,7.17
36,삼성중공업,34000,6.92
37,N2 전력인프라 Top5 ETN,47135,6.91
38,메리츠 인버스 2X 은 선물 ETN(H),37350,6.79
39,삼성 블룸버그 WTI원유 선물 ETN B,18920,6.71
40,TIGER 코리아AI전력기기TOP3플러스,22380,6.7
41,신한 WTI원유 선물 ETN,18400,6.57
42,한전산업,20950,6.45
43,KODEX AI전력핵심설비,42555,6.39
44,HANARO 전력설비투자,51395,6.32
45,삼성물산,320000,6.31
46,에이블씨엔씨,14140,6.24
47,메리츠 WTI원유 선물 ETN(H),18285,6.22
48,오리온,145500,6.13
49,키움 전력 TOP5 ETN,13985,6.07
50,포스코스틸리온,5090,6.04
51,KODEX WTI원유선물(H),24490,5.99
52,효성중공업,3268000,5.97
53,S-Oil,120800,5.87
54,HD현대,280000,5.86
55,한신기계,4550,5.81
56,두산에너빌리티,122600,5.78
57,TIGER 원유선물Enhanced(H),7065,5.76
58,제이에스코퍼레이션,14020,5.73
59,일진홀딩스,9150,5.66
60,넥센우,4775,5.64
61,LS,374000,5.35
62,HJ중공업,32650,5.32
63,LS네트웍스,3780,5.29
64,삼성 인버스 2X 은 선물 ETN,39030,5.26
65,미래산업,15190,5.12
66,더블유게임즈,54200,5.04
67,대덕,16790,5.0
